pageType,Url
"Forum - Technology News","https://breachforums.st/Thread-Toyota-confirms-breach-after-stolen-data-leaks-on-hacking-forum"
"Forum - Achievements","https://breachforums.st/Thread-i-got-my-school-IT-fired-for-locking-my-school-account"
"Forum - Technology News","https://breachforums.st/Thread-Critical-7-Zip-Vulnerability-Let-Attackers-Execute-Arbitrary-Code"
"Forum - Serious Discussion","https://breachforums.st/Thread-Net-worth-Database"
"Forum - Achievements","https://breachforums.st/Thread-I-overcame-laziness"
"Forum - Technology News","https://breachforums.st/Thread-US-Charges-Five-Alleged-Scattered-Spider-Members"
"Forum - Achievements","https://breachforums.st/Thread-home-local-Gpt-chat"
"Forum - Serious Discussion","https://breachforums.st/Thread-THIS-IS-NOT-OFFICIAL-LOCKBIT-TELEGRAM-CHANNEL-PLEASE-BE-CAREFUL-IF-YOU-DON-T-WANT-TO"
"Forum - Achievements","https://breachforums.st/Thread-Shut-down-homework-services-with-READ-BELLOW"
"Forum - Technology News","https://breachforums.st/Thread-SIGTRAN-Cordscan-and-PingPong-leveraged-in-telecom-hacks"
"Forum - Achievements","https://breachforums.st/Thread-watched-3-evil-dead-movies"
"Forum - Serious Discussion","https://breachforums.st/Thread-semi-private-combo-or-not"
"Forum - Technology News","https://breachforums.st/Thread-Donald-Trump%E2%80%99s-social-media-group-in-talks-to-buy-crypto-trading-venue"
"Forum - Serious Discussion","https://breachforums.st/Thread-Worth-phishing-to-crypto-exchange"
"Forum - Achievements","https://breachforums.st/Thread-Nearly-8K-posts"
"Forum - Technology News","https://breachforums.st/Thread-Apple-Urges-Updates-to-Patch-Active-Zero-Day-Exploits"
"Forum - Serious Discussion","https://breachforums.st/Thread-Need-help-Scraping-Vermont-State-Data-Broker-Registry"
"Forum - Achievements","https://breachforums.st/Thread-600-post-celebration-thread"
"Forum - Technology News","https://breachforums.st/Thread-T-Mobile-confirms-it-was-hacked-in-recent-wave-of-telecom-breaches"
"Forum - Serious Discussion","https://breachforums.st/Thread-Bitcoin-on-the-rise-risks-you-can-t-ignore"
"Forum - Technology News","https://breachforums.st/Thread-Microsoft-SharePoint-RCE-bug-exploited-to-breach-corporate-network"
"Forum - Serious Discussion","https://breachforums.st/Thread-BEC"
"Forum - Technology News","https://breachforums.st/Thread-Chinese-hackers-exploit-Fortinet-VPN-zero-day-to-steal-credentials"
"Forum - Achievements","https://breachforums.st/Thread-20K-sb-messages"
"Forum - Serious Discussion","https://breachforums.st/Thread-My-database-of-leaking-cloud-service-files"
"Forum - Technology News","https://breachforums.st/Thread-23andme-who-s-got-the-data"
"Forum - Serious Discussion","https://breachforums.st/Thread-web-hacking"
"Forum - Achievements","https://breachforums.st/Thread-4K-reputation"
"Forum - Serious Discussion","https://breachforums.st/Thread-Net-worth-Database"
"Forum - Achievements","https://breachforums.st/Thread-meetings-portseattle-org"
